classes (9): ['Tomato___Early_blight', 'Tomato___Late_blight', 'Tomato___Leaf_Mold', 'Tomato___Septoria_leaf_spot', 'Tomato___Spider_mites', 'Tomato___Target_Spot', 'Tomato___Tomato_Yellow_Leaf_Curl_Virus', 'Tomato___Tomato_mosaic_virus', 'Tomato___healthy']
train=7761 val=1941 test=1941
trainable params: 295779
epoch 1/200  train_loss=0.9053 train_acc=0.6948  val_loss=1.2523 val_acc=0.5677
epoch 2/200  train_loss=0.4398 train_acc=0.8511  val_loss=0.9480 val_acc=0.6842
epoch 3/200  train_loss=0.3215 train_acc=0.8919  val_loss=0.5274 val_acc=0.8269
epoch 4/200  train_loss=0.2615 train_acc=0.9181  val_loss=0.4198 val_acc=0.8542
epoch 5/200  train_loss=0.2259 train_acc=0.9271  val_loss=0.3281 val_acc=0.8975
epoch 6/200  train_loss=0.2072 train_acc=0.9352  val_loss=0.4505 val_acc=0.8573
epoch 7/200  train_loss=0.1761 train_acc=0.9470  val_loss=0.2673 val_acc=0.9155
epoch 8/200  train_loss=0.1653 train_acc=0.9501  val_loss=0.2066 val_acc=0.9356
epoch 9/200  train_loss=0.1573 train_acc=0.9504  val_loss=0.1743 val_acc=0.9490
epoch 10/200  train_loss=0.1398 train_acc=0.9576  val_loss=0.2361 val_acc=0.9253
epoch 11/200  train_loss=0.1420 train_acc=0.9562  val_loss=0.1348 val_acc=0.9598
epoch 12/200  train_loss=0.1341 train_acc=0.9566  val_loss=0.3110 val_acc=0.9098
epoch 13/200  train_loss=0.1321 train_acc=0.9598  val_loss=0.1478 val_acc=0.9557
epoch 14/200  train_loss=0.1056 train_acc=0.9686  val_loss=0.1802 val_acc=0.9511
epoch 15/200  train_loss=0.1194 train_acc=0.9637  val_loss=0.1386 val_acc=0.9588
epoch 16/200  train_loss=0.1089 train_acc=0.9674  val_loss=0.1461 val_acc=0.9598
epoch 17/200  train_loss=0.1013 train_acc=0.9695  val_loss=0.1770 val_acc=0.9531
epoch 18/200  train_loss=0.1042 train_acc=0.9675  val_loss=0.1606 val_acc=0.9516
epoch 19/200  train_loss=0.1043 train_acc=0.9678  val_loss=0.2577 val_acc=0.9294
epoch 20/200  train_loss=0.0952 train_acc=0.9727  val_loss=0.1288 val_acc=0.9639
epoch 21/200  train_loss=0.0959 train_acc=0.9705  val_loss=0.1267 val_acc=0.9650
epoch 22/200  train_loss=0.0829 train_acc=0.9758  val_loss=0.1239 val_acc=0.9670
epoch 23/200  train_loss=0.0793 train_acc=0.9773  val_loss=0.1613 val_acc=0.9536
epoch 24/200  train_loss=0.0855 train_acc=0.9745  val_loss=0.3095 val_acc=0.9124
epoch 25/200  train_loss=0.0942 train_acc=0.9696  val_loss=0.1787 val_acc=0.9495
epoch 26/200  train_loss=0.0801 train_acc=0.9750  val_loss=0.1188 val_acc=0.9691
epoch 27/200  train_loss=0.0730 train_acc=0.9785  val_loss=0.1169 val_acc=0.9665
epoch 28/200  train_loss=0.0787 train_acc=0.9763  val_loss=0.1378 val_acc=0.9598
epoch 29/200  train_loss=0.0741 train_acc=0.9760  val_loss=0.1429 val_acc=0.9650
epoch 30/200  train_loss=0.0653 train_acc=0.9818  val_loss=0.1399 val_acc=0.9603
epoch 31/200  train_loss=0.0720 train_acc=0.9765  val_loss=0.1103 val_acc=0.9711
epoch 32/200  train_loss=0.0637 train_acc=0.9807  val_loss=0.1136 val_acc=0.9727
epoch 33/200  train_loss=0.0647 train_acc=0.9811  val_loss=0.2095 val_acc=0.9454
epoch 34/200  train_loss=0.0650 train_acc=0.9803  val_loss=0.1251 val_acc=0.9711
epoch 35/200  train_loss=0.0677 train_acc=0.9789  val_loss=0.1293 val_acc=0.9665
