classes (9): ['Tomato___Early_blight', 'Tomato___Late_blight', 'Tomato___Leaf_Mold', 'Tomato___Septoria_leaf_spot', 'Tomato___Spider_mites', 'Tomato___Target_Spot', 'Tomato___Tomato_Yellow_Leaf_Curl_Virus', 'Tomato___Tomato_mosaic_virus', 'Tomato___healthy']
train=7761 val=1941 test=1941
trainable params: 357219
epoch 1/200  train_loss=0.8541 train_acc=0.7168  val_loss=0.8250 val_acc=0.7125
epoch 2/200  train_loss=0.3954 train_acc=0.8710  val_loss=0.4154 val_acc=0.8609
epoch 3/200  train_loss=0.3058 train_acc=0.8999  val_loss=0.3126 val_acc=0.8985
epoch 4/200  train_loss=0.2463 train_acc=0.9239  val_loss=0.3674 val_acc=0.8769
epoch 5/200  train_loss=0.2108 train_acc=0.9335  val_loss=0.5687 val_acc=0.8305
epoch 6/200  train_loss=0.1947 train_acc=0.9398  val_loss=0.1947 val_acc=0.9428
epoch 7/200  train_loss=0.1721 train_acc=0.9499  val_loss=0.1576 val_acc=0.9572
epoch 8/200  train_loss=0.1569 train_acc=0.9517  val_loss=0.2571 val_acc=0.9134
epoch 9/200  train_loss=0.1526 train_acc=0.9537  val_loss=0.3466 val_acc=0.8784
epoch 10/200  train_loss=0.1442 train_acc=0.9549  val_loss=0.1502 val_acc=0.9541
epoch 11/200  train_loss=0.1204 train_acc=0.9656  val_loss=0.1653 val_acc=0.9531
epoch 12/200  train_loss=0.1202 train_acc=0.9637  val_loss=0.1737 val_acc=0.9480
epoch 13/200  train_loss=0.1349 train_acc=0.9593  val_loss=0.1363 val_acc=0.9614
epoch 14/200  train_loss=0.1153 train_acc=0.9635  val_loss=0.1726 val_acc=0.9500
epoch 15/200  train_loss=0.1162 train_acc=0.9659  val_loss=0.1592 val_acc=0.9531
epoch 16/200  train_loss=0.1016 train_acc=0.9689  val_loss=0.2601 val_acc=0.9165
epoch 17/200  train_loss=0.0964 train_acc=0.9697  val_loss=0.1721 val_acc=0.9469
epoch 18/200  train_loss=0.0964 train_acc=0.9710  val_loss=0.2389 val_acc=0.9284
epoch 19/200  train_loss=0.0993 train_acc=0.9701  val_loss=0.3018 val_acc=0.9073
epoch 20/200  train_loss=0.0805 train_acc=0.9747  val_loss=0.1364 val_acc=0.9665
epoch 21/200  train_loss=0.0847 train_acc=0.9747  val_loss=0.1562 val_acc=0.9619
epoch 22/200  train_loss=0.0871 train_acc=0.9717  val_loss=0.1577 val_acc=0.9650
epoch 23/200  train_loss=0.0846 train_acc=0.9719  val_loss=0.1562 val_acc=0.9536
epoch 24/200  train_loss=0.0835 train_acc=0.9756  val_loss=0.1546 val_acc=0.9598
epoch 25/200  train_loss=0.0792 train_acc=0.9775  val_loss=0.1352 val_acc=0.9634
epoch 26/200  train_loss=0.0672 train_acc=0.9793  val_loss=0.1812 val_acc=0.9557
epoch 27/200  train_loss=0.0722 train_acc=0.9765  val_loss=0.1356 val_acc=0.9645
epoch 28/200  train_loss=0.0643 train_acc=0.9794  val_loss=0.1478 val_acc=0.9655
epoch 29/200  train_loss=0.0716 train_acc=0.9762  val_loss=0.1487 val_acc=0.9588
epoch 30/200  train_loss=0.0625 train_acc=0.9789  val_loss=0.1642 val_acc=0.9578
epoch 31/200  train_loss=0.0603 train_acc=0.9809  val_loss=0.1771 val_acc=0.9531
epoch 32/200  train_loss=0.0647 train_acc=0.9784  val_loss=0.1232 val_acc=0.9696
epoch 33/200  train_loss=0.0663 train_acc=0.9790  val_loss=0.1629 val_acc=0.9598
epoch 34/200  train_loss=0.0539 train_acc=0.9822  val_loss=0.1787 val_acc=0.9552
epoch 35/200  train_loss=0.0599 train_acc=0.9804  val_loss=0.1590 val_acc=0.9639
epoch 36/200  train_loss=0.0528 train_acc=0.9840  val_loss=0.1366 val_acc=0.9701
epoch 37/200  train_loss=0.0481 train_acc=0.9862  val_loss=0.1828 val_acc=0.9541
epoch 38/200  train_loss=0.0531 train_acc=0.9831  val_loss=0.1495 val_acc=0.9665
epoch 39/200  train_loss=0.0562 train_acc=0.9811  val_loss=0.1902 val_acc=0.9562
epoch 40/200  train_loss=0.0472 train_acc=0.9844  val_loss=0.1480 val_acc=0.9645
epoch 41/200  train_loss=0.0442 train_acc=0.9869  val_loss=0.1300 val_acc=0.9732
epoch 42/200  train_loss=0.0422 train_acc=0.9869  val_loss=0.1355 val_acc=0.9711
epoch 43/200  train_loss=0.0349 train_acc=0.9881  val_loss=0.1751 val_acc=0.9572
epoch 44/200  train_loss=0.0418 train_acc=0.9853  val_loss=0.1759 val_acc=0.9634
epoch 45/200  train_loss=0.0461 train_acc=0.9842  val_loss=0.1474 val_acc=0.9645
epoch 46/200  train_loss=0.0435 train_acc=0.9860  val_loss=0.1470 val_acc=0.9670
epoch 47/200  train_loss=0.0386 train_acc=0.9883  val_loss=0.1303 val_acc=0.9701
epoch 48/200  train_loss=0.0311 train_acc=0.9885  val_loss=0.1684 val_acc=0.9675
epoch 49/200  train_loss=0.0365 train_acc=0.9883  val_loss=0.1580 val_acc=0.9686
epoch 50/200  train_loss=0.0330 train_acc=0.9896  val_loss=0.1611 val_acc=0.9675
epoch 51/200  train_loss=0.0380 train_acc=0.9875  val_loss=0.1677 val_acc=0.9624
epoch 52/200  train_loss=0.0270 train_acc=0.9919  val_loss=0.1862 val_acc=0.9598
epoch 53/200  train_loss=0.0331 train_acc=0.9901  val_loss=0.1548 val_acc=0.9665
epoch 54/200  train_loss=0.0305 train_acc=0.9892  val_loss=0.2141 val_acc=0.9500
epoch 55/200  train_loss=0.0350 train_acc=0.9894  val_loss=0.1320 val_acc=0.9706
epoch 56/200  train_loss=0.0286 train_acc=0.9912  val_loss=0.1882 val_acc=0.9572
epoch 57/200  train_loss=0.0374 train_acc=0.9885  val_loss=0.1552 val_acc=0.9701
epoch 58/200  train_loss=0.0283 train_acc=0.9889  val_loss=0.1543 val_acc=0.9706
epoch 59/200  train_loss=0.0218 train_acc=0.9925  val_loss=0.1461 val_acc=0.9717
epoch 60/200  train_loss=0.0233 train_acc=0.9915  val_loss=0.1507 val_acc=0.9737
epoch 61/200  train_loss=0.0294 train_acc=0.9897  val_loss=0.1528 val_acc=0.9681
epoch 62/200  train_loss=0.0248 train_acc=0.9912  val_loss=0.1483 val_acc=0.9701
epoch 63/200  train_loss=0.0352 train_acc=0.9890  val_loss=0.1725 val_acc=0.9681
epoch 64/200  train_loss=0.0236 train_acc=0.9925  val_loss=0.1378 val_acc=0.9732
epoch 65/200  train_loss=0.0159 train_acc=0.9950  val_loss=0.1775 val_acc=0.9696
epoch 66/200  train_loss=0.0238 train_acc=0.9918  val_loss=0.1453 val_acc=0.9748
epoch 67/200  train_loss=0.0157 train_acc=0.9948  val_loss=0.1649 val_acc=0.9696
epoch 68/200  train_loss=0.0198 train_acc=0.9937  val_loss=0.2054 val_acc=0.9624
epoch 69/200  train_loss=0.0218 train_acc=0.9921  val_loss=0.1741 val_acc=0.9681
epoch 70/200  train_loss=0.0301 train_acc=0.9902  val_loss=0.1533 val_acc=0.9727
epoch 71/200  train_loss=0.0200 train_acc=0.9932  val_loss=0.1708 val_acc=0.9706
epoch 72/200  train_loss=0.0315 train_acc=0.9906  val_loss=0.1695 val_acc=0.9701
epoch 73/200  train_loss=0.0183 train_acc=0.9941  val_loss=0.1712 val_acc=0.9660
epoch 74/200  train_loss=0.0166 train_acc=0.9942  val_loss=0.1906 val_acc=0.9603
epoch 75/200  train_loss=0.0168 train_acc=0.9946  val_loss=0.2288 val_acc=0.9557
epoch 76/200  train_loss=0.0131 train_acc=0.9952  val_loss=0.1757 val_acc=0.9717
epoch 77/200  train_loss=0.0117 train_acc=0.9965  val_loss=0.1820 val_acc=0.9639
epoch 78/200  train_loss=0.0158 train_acc=0.9950  val_loss=0.1665 val_acc=0.9722
epoch 79/200  train_loss=0.0145 train_acc=0.9957  val_loss=0.1765 val_acc=0.9686
epoch 80/200  train_loss=0.0139 train_acc=0.9954  val_loss=0.1744 val_acc=0.9691
epoch 81/200  train_loss=0.0154 train_acc=0.9943  val_loss=0.1690 val_acc=0.9696
epoch 82/200  train_loss=0.0087 train_acc=0.9973  val_loss=0.2234 val_acc=0.9583
epoch 83/200  train_loss=0.0144 train_acc=0.9947  val_loss=0.2111 val_acc=0.9634
epoch 84/200  train_loss=0.0167 train_acc=0.9952  val_loss=0.2378 val_acc=0.9557
epoch 85/200  train_loss=0.0267 train_acc=0.9920  val_loss=0.1866 val_acc=0.9665
epoch 86/200  train_loss=0.0119 train_acc=0.9961  val_loss=0.1617 val_acc=0.9717
epoch 87/200  train_loss=0.0148 train_acc=0.9951  val_loss=0.1930 val_acc=0.9706
epoch 88/200  train_loss=0.0080 train_acc=0.9976  val_loss=0.1707 val_acc=0.9732
epoch 89/200  train_loss=0.0096 train_acc=0.9972  val_loss=0.1617 val_acc=0.9737
epoch 90/200  train_loss=0.0109 train_acc=0.9964  val_loss=0.1782 val_acc=0.9773
epoch 91/200  train_loss=0.0166 train_acc=0.9947  val_loss=0.1726 val_acc=0.9742
epoch 92/200  train_loss=0.0126 train_acc=0.9957  val_loss=0.2438 val_acc=0.9578
epoch 93/200  train_loss=0.0130 train_acc=0.9955  val_loss=0.1739 val_acc=0.9758
epoch 94/200  train_loss=0.0115 train_acc=0.9966  val_loss=0.1818 val_acc=0.9711
epoch 95/200  train_loss=0.0102 train_acc=0.9972  val_loss=0.1743 val_acc=0.9727
epoch 96/200  train_loss=0.0087 train_acc=0.9974  val_loss=0.1756 val_acc=0.9758
epoch 97/200  train_loss=0.0099 train_acc=0.9964  val_loss=0.1853 val_acc=0.9681
epoch 98/200  train_loss=0.0097 train_acc=0.9973  val_loss=0.1838 val_acc=0.9686
epoch 99/200  train_loss=0.0084 train_acc=0.9970  val_loss=0.1671 val_acc=0.9763
epoch 100/200  train_loss=0.0070 train_acc=0.9976  val_loss=0.1895 val_acc=0.9758
epoch 101/200  train_loss=0.0079 train_acc=0.9982  val_loss=0.2043 val_acc=0.9691
epoch 102/200  train_loss=0.0080 train_acc=0.9973  val_loss=0.2124 val_acc=0.9691
epoch 103/200  train_loss=0.0080 train_acc=0.9972  val_loss=0.1857 val_acc=0.9763
epoch 104/200  train_loss=0.0115 train_acc=0.9963  val_loss=0.1883 val_acc=0.9691
epoch 105/200  train_loss=0.0112 train_acc=0.9970  val_loss=0.1866 val_acc=0.9763
epoch 106/200  train_loss=0.0041 train_acc=0.9986  val_loss=0.1760 val_acc=0.9784
epoch 107/200  train_loss=0.0118 train_acc=0.9963  val_loss=0.2067 val_acc=0.9711
epoch 108/200  train_loss=0.0057 train_acc=0.9981  val_loss=0.2080 val_acc=0.9706
epoch 109/200  train_loss=0.0049 train_acc=0.9986  val_loss=0.1921 val_acc=0.9711
epoch 110/200  train_loss=0.0048 train_acc=0.9987  val_loss=0.2029 val_acc=0.9717
epoch 111/200  train_loss=0.0065 train_acc=0.9978  val_loss=0.1811 val_acc=0.9758
epoch 112/200  train_loss=0.0064 train_acc=0.9981  val_loss=0.1858 val_acc=0.9732
epoch 113/200  train_loss=0.0062 train_acc=0.9977  val_loss=0.1810 val_acc=0.9773
epoch 114/200  train_loss=0.0073 train_acc=0.9981  val_loss=0.1879 val_acc=0.9742
epoch 115/200  train_loss=0.0083 train_acc=0.9972  val_loss=0.1880 val_acc=0.9768
epoch 116/200  train_loss=0.0050 train_acc=0.9990  val_loss=0.1928 val_acc=0.9717
epoch 117/200  train_loss=0.0062 train_acc=0.9978  val_loss=0.1892 val_acc=0.9737
epoch 118/200  train_loss=0.0088 train_acc=0.9977  val_loss=0.2379 val_acc=0.9639
epoch 119/200  train_loss=0.0059 train_acc=0.9981  val_loss=0.1704 val_acc=0.9701
epoch 120/200  train_loss=0.0036 train_acc=0.9990  val_loss=0.1786 val_acc=0.9758
epoch 121/200  train_loss=0.0038 train_acc=0.9983  val_loss=0.2081 val_acc=0.9737
epoch 122/200  train_loss=0.0050 train_acc=0.9983  val_loss=0.1853 val_acc=0.9768
epoch 123/200  train_loss=0.0022 train_acc=0.9994  val_loss=0.1871 val_acc=0.9773
epoch 124/200  train_loss=0.0035 train_acc=0.9985  val_loss=0.1967 val_acc=0.9722
epoch 125/200  train_loss=0.0118 train_acc=0.9972  val_loss=0.2219 val_acc=0.9727
epoch 126/200  train_loss=0.0022 train_acc=0.9991  val_loss=0.2123 val_acc=0.9753
epoch 127/200  train_loss=0.0036 train_acc=0.9992  val_loss=0.2070 val_acc=0.9758
epoch 128/200  train_loss=0.0052 train_acc=0.9985  val_loss=0.1910 val_acc=0.9768
epoch 129/200  train_loss=0.0022 train_acc=0.9992  val_loss=0.1957 val_acc=0.9753
epoch 130/200  train_loss=0.0052 train_acc=0.9981  val_loss=0.2041 val_acc=0.9748
epoch 131/200  train_loss=0.0014 train_acc=0.9996  val_loss=0.2036 val_acc=0.9748
epoch 132/200  train_loss=0.0031 train_acc=0.9987  val_loss=0.2142 val_acc=0.9732
epoch 133/200  train_loss=0.0026 train_acc=0.9996  val_loss=0.2043 val_acc=0.9748
epoch 134/200  train_loss=0.0011 train_acc=0.9997  val_loss=0.2111 val_acc=0.9768
epoch 135/200  train_loss=0.0012 train_acc=0.9997  val_loss=0.2098 val_acc=0.9778
epoch 136/200  train_loss=0.0007 train_acc=1.0000  val_loss=0.2075 val_acc=0.9778
epoch 137/200  train_loss=0.0043 train_acc=0.9990  val_loss=0.2083 val_acc=0.9763
epoch 138/200  train_loss=0.0034 train_acc=0.9987  val_loss=0.2157 val_acc=0.9758
epoch 139/200  train_loss=0.0006 train_acc=1.0000  val_loss=0.2048 val_acc=0.9753
epoch 140/200  train_loss=0.0053 train_acc=0.9985  val_loss=0.2418 val_acc=0.9737
epoch 141/200  train_loss=0.0028 train_acc=0.9992  val_loss=0.2173 val_acc=0.9753
epoch 142/200  train_loss=0.0014 train_acc=0.9997  val_loss=0.2112 val_acc=0.9763
epoch 143/200  train_loss=0.0011 train_acc=0.9995  val_loss=0.2110 val_acc=0.9773
epoch 144/200  train_loss=0.0023 train_acc=0.9988  val_loss=0.2086 val_acc=0.9768
epoch 145/200  train_loss=0.0008 train_acc=0.9997  val_loss=0.2066 val_acc=0.9763
epoch 146/200  train_loss=0.0021 train_acc=0.9992  val_loss=0.2182 val_acc=0.9778
epoch 147/200  train_loss=0.0020 train_acc=0.9997  val_loss=0.2044 val_acc=0.9778
epoch 148/200  train_loss=0.0018 train_acc=0.9996  val_loss=0.2136 val_acc=0.9763
epoch 149/200  train_loss=0.0010 train_acc=0.9997  val_loss=0.2074 val_acc=0.9748
epoch 150/200  train_loss=0.0004 train_acc=1.0000  val_loss=0.2039 val_acc=0.9778
epoch 151/200  train_loss=0.0007 train_acc=0.9999  val_loss=0.2064 val_acc=0.9784
epoch 152/200  train_loss=0.0005 train_acc=0.9999  val_loss=0.2154 val_acc=0.9768
epoch 153/200  train_loss=0.0013 train_acc=0.9997  val_loss=0.2334 val_acc=0.9773
epoch 154/200  train_loss=0.0008 train_acc=0.9996  val_loss=0.2326 val_acc=0.9763
epoch 155/200  train_loss=0.0006 train_acc=0.9999  val_loss=0.2203 val_acc=0.9768
epoch 156/200  train_loss=0.0004 train_acc=1.0000  val_loss=0.2150 val_acc=0.9778
epoch 157/200  train_loss=0.0035 train_acc=0.9987  val_loss=0.2357 val_acc=0.9742
epoch 158/200  train_loss=0.0013 train_acc=0.9996  val_loss=0.2227 val_acc=0.9768
epoch 159/200  train_loss=0.0004 train_acc=1.0000  val_loss=0.2214 val_acc=0.9778
epoch 160/200  train_loss=0.0012 train_acc=0.9997  val_loss=0.2254 val_acc=0.9753
epoch 161/200  train_loss=0.0012 train_acc=0.9996  val_loss=0.2248 val_acc=0.9763
epoch 162/200  train_loss=0.0006 train_acc=0.9999  val_loss=0.2224 val_acc=0.9742
epoch 163/200  train_loss=0.0004 train_acc=0.9999  val_loss=0.2281 val_acc=0.9763
epoch 164/200  train_loss=0.0005 train_acc=1.0000  val_loss=0.2306 val_acc=0.9753
epoch 165/200  train_loss=0.0002 train_acc=1.0000  val_loss=0.2250 val_acc=0.9758
epoch 166/200  train_loss=0.0004 train_acc=1.0000  val_loss=0.2295 val_acc=0.9768
epoch 167/200  train_loss=0.0002 train_acc=1.0000  val_loss=0.2300 val_acc=0.9768
